sensor_key,site_name,sensor_height,sensor_id,column_index,PC1_loading,PC2_loading,PC3_loading,PC4_loading,PC5_loading,PC6_loading,PC7_loading,PC8_loading,PC9_loading,PC10_loading,PC11_loading,PC12_loading,PC13_loading,PC14_loading,PC15_loading,PC16_loading,PC17_loading,PC18_loading,PC19_loading,PC20_loading,PC21_loading,PC22_loading,PC23_loading,PC24_loading,PC25_loading,PC26_loading,PC27_loading,PC28_loading,PC29_loading,PC30_loading,PC31_loading,PC32_loading
B01_1m_22133671,B01,1m,22133671,10,0.7822429060108544,0.4973652915070618,-0.215584322993605,0.017411226815869377,-0.0676370983560584,-0.02899052103111382,0.056878610839024124,-0.006553023398431141,-0.11030676886845689,0.09391243991999955,0.046179883213609406,-0.10588219521795983,-0.029978544130909623,-0.15745281016417695,0.1068557646803234,0.03538458843610396,-0.02414760669351733,-0.047281782904015794,0.10167088998781688,0.0008171659133725146,-0.009151378983683114,0.009642503035189947,0.022778387445717207,-0.026834488266394493,0.017697927598867142,0.010510144272400618,-0.005851980345314438,0.0038021602863108264,0.0021272499792874414,0.0014654763566370951,0.0015023818208321064,-0.00019001943278993568
D01_1m_22133652,D01,1m,22133652,11,0.860102013723535,-0.11793443448234896,0.1430984697180965,0.34855229689172224,0.08134721910851642,-0.08518378614070361,-0.06538677836265204,-0.019246970113621566,-0.1361148026011719,0.00908785813795172,0.21131797022837534,0.016780262873560416,0.1412532410839373,0.027182706595429998,-0.022517118121444205,-0.000834627790514886,0.00039106714471684906,-0.018460007513953196,0.009147580909586955,-0.02787505543823452,0.018389161122931343,0.0010905692853360233,-0.0017476832248840592,0.023488744928974258,0.014828279106883299,0.021638284809185733,-0.022691651551128435,-0.014561649138824765,-0.0057895394641578075,0.0022940625197063608,-0.004959418281958989,-0.0004538788806372992
G02_1m_22133666,G02,1m,22133666,12,0.8476729614417498,0.17796178355630352,0.3632566557562274,-0.2072646873875135,-0.08956043043008881,0.0672319943005605,-0.009249312527441442,-0.05142527182227559,-0.0640607341842873,-0.12042363255167023,-0.09585183316075266,0.02645738712929117,0.05865674501042612,0.0021648142636893327,0.0045853701930986465,-0.06137290211154849,0.1390060874145668,-0.010439062065856888,0.05018980121947209,-0.03276708271068531,-0.04939211913402294,0.011575593041886078,-0.005749256574863501,0.006870443710239842,0.0004755869095997796,0.01754201452961088,0.01650310780226149,-0.004049784860744716,-0.007575433909792392,-0.0050432616347539285,0.0007163990001182428,0.001858164712636656
A03_2m_22133661,A03,2m,22133661,13,0.8846163110153429,-0.027132942299621557,0.2071615012657311,0.13980198718367484,-0.040754274651058894,0.0795178819762062,-0.14408486285186473,0.0920133069943592,0.2800740193269801,0.00121429014555371,0.0053889863508953815,-0.18446350906331688,0.044383982753420356,0.012710646889317582,-0.0035555940731656524,-0.01274144686710263,-0.017203307105288848,-0.005660990770214528,0.011484094058915451,0.03826041811629545,-0.0360031861702193,-0.028197344718129395,0.0042604470040780475,0.014956427131899576,0.019200434822544393,-0.0008641706480684458,-0.00858937686724228,0.004881209106003847,-0.0002312754315232136,0.0007978161161904127,0.003068285894834103,-0.0006253517806744394
A02__22038780,A02,,22038780,14,0.45702224194071855,0.44437874523706633,-0.1059509031759739,-0.21402296045681082,0.709032189328905,0.08700418085167361,-0.16092845418491825,0.009668404432549344,0.005251857524254487,-0.015829454438207376,-0.0203545978300132,0.003606539095030788,-0.011918752999011755,-0.031227609709654932,0.006454009622829429,-0.004868631310744149,0.027861572965663006,-0.010576426465555068,-0.006993674931661717,0.0022935660247612867,0.0002665199096470518,-0.0007913507728489241,0.000378121368822351,0.0006599584443047453,-0.000540262477547526,-0.0008396019041942102,-7.255217566339311e-06,-9.905816723988135e-06,0.00015723032096616905,0.00020180458858762255,0.0001902185177767511,4.1481171211153285e-05
G02_2m_22133628,G02,2m,22133628,15,0.8717075367225828,0.14543337960364164,0.3585034809886694,-0.14658850367524726,-0.09330560587050848,0.06383268586272625,-0.015427287229436903,-0.025105968377924462,-0.05008780769776398,-0.1136930386862907,-0.08416299839887662,0.01830470178271954,0.062182011982280364,-0.008312467321247474,-0.022969753389240077,-0.055675288010498654,0.1292056659321287,-0.010117535277279679,0.07597877630435516,0.03399188024627522,0.05287204334446783,-0.01334869262296192,0.005623135241727724,-0.0077025621809208465,-0.0004473954071682529,-0.015908290274212665,-0.01596130685909307,0.003216884994545636,0.007635999552640689,0.0047008330636848185,0.0001283179722420048,-0.0015471034865960234
D01_2m_22133646,D01,2m,22133646,16,0.8511568741403142,-0.15547979147251137,0.12173473561515734,0.35684633043320146,0.06945171079222864,-0.10370561163751327,-0.07272668667730121,-0.003768600639078962,-0.11868459651716223,0.014703092659043663,0.21920963618776024,0.03788533329586319,0.1472337309889996,0.03006075580500095,-0.01968630492417725,0.0076759678825795595,0.029299931970274768,-0.007801432444052683,-0.005223772136117471,0.027157632182060434,-0.020718614725259415,0.0018517932855098204,0.00043846332033165854,-0.02286720567446189,-0.011518403061441907,-0.019944429502637362,0.022863011939908195,0.01542333624265588,0.005628882586726901,-0.0029309122889117807,0.004329396834148468,-0.0005135943616168586
D02_2m_22133659,D02,2m,22133659,17,0.8314224764657848,-0.24095521399450195,-0.021506074433882222,0.33980144909415816,0.06913254567515625,-0.16968282362382336,-0.025810669331618744,-0.2223950591737764,0.020609190678142895,0.04740614935828811,-0.20807772409104003,-0.004567745028426066,-0.06283796445730384,-0.004055224760526645,0.01694755212858822,-0.0031753300651271832,0.0156122275879979,0.0005539022060019505,-0.0009222375866975848,0.011378894400527327,0.009085759703225,0.02092976759863514,-0.03724197547423042,0.0016518760082555649,0.023311227716946097,0.00649063718164624,0.0023647847512590337,0.01768377972043899,0.010174405516025449,0.00023138747609151398,0.0010539754025799147,-0.001127950828301332
E03_2m_22133674,E03,2m,22133674,18,0.7958182249608778,-0.3458708534862794,-0.30225110886621287,-0.299550031865948,-0.033136503536590464,-0.10701620971968376,-0.030095386985779578,-0.11924324634120291,0.023771264555416623,-0.0448294642529135,0.09390282082215934,-0.07177359050899484,-0.04516337354229976,-0.01945176264459596,-0.11891469516064691,0.06224669399057105,0.04050520290737746,-0.015788241274992933,-0.0007667812509238725,0.02191940431484441,-0.008186195061740958,0.009608698063655078,-0.0036714687954213588,-0.002758539082777598,-0.009462958147907515,0.009223298176806491,-0.0001623327257339928,-0.009945471267286482,0.004316101343274909,0.02374975352152555,0.007731361342837362,0.015789978177305795
D04_1m_22133636,D04,1m,22133636,19,0.8184884275650246,-0.3689103981873424,-0.24619631979796575,-0.05171612553322833,0.00769120030881052,0.2538874799203069,0.08931842262822363,-0.04650417375782968,0.0765357724227865,0.06949488931061285,-0.07242921317254923,0.09963624945436637,0.16028038094071026,-0.023972078879041715,0.0028209684567048914,0.05414470041114428,-0.02655857266383636,-0.019471223015938996,0.01202226151981633,-0.020646783933718375,0.005690896458936768,-0.01235075465466814,0.005496049107985706,0.0013068093580750066,0.015862863108765928,-0.0035664628298695818,0.02219007795083633,-0.012550009921095872,0.017001277122395148,0.015412013821400105,-0.007122097243210958,-0.0100531172122262
