date,camp_id,temperature_min,temperature_max,temperature_mean,hourly_observations,temperature_std,elevation_first,latitude_first,longitude_first,nwis_id_first
1998-08-21,C-17,34.88,37.2,36.042500000000004,8,0.8271767819344478,1285,58.64721,-134.20635,
1998-08-21,C-18,30.91,32.52,31.716250000000002,8,0.7452887743303648,1705,59.34211,-134.10221,
1998-08-21,C-26,37.2,40.23,38.05625,8,1.177150767137082,1435,58.36737,-134.36638,
1998-08-21,C-30,39.48,52.49,47.92,8,5.271508323051384,674,59.57544893154394,-133.70967902899886,
1998-08-21,C-8,26.77,30.91,28.4375,8,1.6003995036954277,2050,58.83497,-134.27643,
1998-08-22,C-10,37.2,40.97,39.18625,8,1.609320508786239,1196,59.57564,-133.70982,
1998-08-22,C-17,37.2,40.97,39.09,8,1.7121915780659591,1285,58.64721,-134.20635,
1998-08-22,C-18,33.31,37.2,35.651250000000005,8,1.4388928035124806,1705,59.34211,-134.10221,
1998-08-22,C-26,37.2,44.65,40.67125,8,2.870557126114317,1435,58.36737,-134.36638,
1998-08-22,C-30,48.25,55.97,52.21125,8,3.0002830223640053,674,59.57544893154394,-133.70967902899886,
1998-08-22,C-8,29.28,34.1,31.805000000000003,8,1.7975379988036013,2050,58.83497,-134.27643,
1998-08-23,C-10,39.48,43.19,40.875,8,1.5055895855112704,1196,59.57564,-133.70982,
1998-08-23,C-17,39.48,40.97,40.13375,8,0.6220458756623762,1285,58.64721,-134.20635,
1998-08-23,C-18,34.88,36.43,35.9475,8,0.5755432216610683,1705,59.34211,-134.10221,
1998-08-23,C-26,38.72,45.38,41.8875,8,2.155297460411708,1435,58.36737,-134.36638,
1998-08-23,C-30,43.92,63.54,54.43875,8,6.4511647619413885,674,59.57544893154394,-133.70967902899886,
1998-08-23,C-8,30.91,33.31,31.71375,8,0.9585843356593264,2050,58.83497,-134.27643,
1998-08-24,C-10,38.72,41.72,40.31625,8,1.230481177658331,1196,59.57564,-133.70982,
1998-08-24,C-17,38.72,40.97,39.754999999999995,8,0.9778255760322762,1285,58.64721,-134.20635,
1998-08-24,C-18,34.1,37.97,36.2325,8,1.4178530046719,1705,59.34211,-134.10221,
1998-08-24,C-26,40.23,43.19,41.6225,8,1.0811865175418574,1435,58.36737,-134.36638,
1998-08-24,C-30,48.96,59.42,53.43,8,3.7455726245414476,674,59.57544893154394,-133.70967902899886,
1998-08-24,C-8,30.1,33.31,32.0125,8,1.2087981043759382,2050,58.83497,-134.27643,
1998-08-25,C-10,38.72,43.19,41.15375,8,1.3654401435853154,1196,59.57564,-133.70982,
1998-08-25,C-17,37.2,40.97,39.94,8,1.330198696221195,1285,58.64721,-134.20635,
1998-08-25,C-18,34.1,37.2,36.13875,8,1.0086686770193678,1705,59.34211,-134.10221,
1998-08-25,C-26,40.23,44.65,41.99,8,1.362225070558145,1435,58.36737,-134.36638,
1998-08-25,C-30,46.1,64.91,55.1425,8,6.469799621538298,674,59.57544893154394,-133.70967902899886,
1998-08-25,C-8,30.1,33.31,32.01625,8,0.9539682160024315,2050,58.83497,-134.27643,
1998-08-26,C-10,34.1,37.2,36.2325,8,1.3584313432359092,1196,59.57564,-133.70982,
1998-08-26,C-17,33.31,37.2,35.45875,8,1.2982343779148628,1285,58.64721,-134.20635,
1998-08-26,C-18,30.1,32.52,31.716250000000002,8,0.86192372052288,1705,59.34211,-134.10221,
1998-08-26,C-26,34.1,38.72,37.3875,8,1.473409554158554,1435,58.36737,-134.36638,
1998-08-26,C-30,47.53,51.79,49.84375,8,1.2433013368792427,674,59.57544893154394,-133.70967902899886,
1998-08-26,C-8,25.93,29.28,28.1325,8,1.1798395774728996,2050,58.83497,-134.27643,
1998-08-27,C-10,31.72,34.88,33.20875,8,1.0711467486497182,1196,59.57564,-133.70982,
1998-08-27,C-17,32.52,34.88,33.8025,8,0.7216004038643156,1285,58.64721,-134.20635,
1998-08-27,C-18,28.45,32.52,30.4975,8,1.4424458395378323,1705,59.34211,-134.10221,
1998-08-27,C-26,32.52,38.72,36.03125,8,2.152330547502932,1435,58.36737,-134.36638,
1998-08-27,C-30,37.97,53.89,47.92375,8,5.177986198458682,674,59.57544893154394,-133.70967902899886,
1998-08-27,C-8,25.07,28.45,26.5525,8,1.6111198412461887,2050,58.83497,-134.27643,
1998-08-28,C-10,34.1,42.46,37.9325,8,3.1152287235450338,1196,59.57564,-133.70982,
1998-08-28,C-17,31.72,43.92,37.01375,8,5.182875477404961,1285,58.64721,-134.20635,
1998-08-28,C-18,29.28,40.23,34.13375,8,4.177271623235158,1705,59.34211,-134.10221,
1998-08-28,C-26,30.91,41.72,35.69125,8,4.316494733659971,1435,58.36737,-134.36638,
1998-08-28,C-30,38.72,52.49,45.135,8,4.934088423551867,674,59.57544893154394,-133.70967902899886,
1998-08-28,C-8,25.07,35.66,30.01125,8,4.42025027571969,2050,58.83497,-134.27643,
1998-08-29,C-10,33.31,37.97,35.645,8,2.0359834408532365,1196,59.57564,-133.70982,
1998-08-29,C-17,32.52,37.97,35.06,8,2.1527590270560744,1285,58.64721,-134.20635,
1998-08-29,C-18,28.45,32.52,31.0025,8,1.5314022519060309,1705,59.34211,-134.10221,
1998-08-29,C-26,34.88,39.48,37.192499999999995,8,1.5871785388814048,1435,58.36737,-134.36638,
1998-08-29,C-30,46.82,53.19,50.01625,8,2.2026149232219385,674,59.57544893154394,-133.70967902899886,
1998-08-29,C-8,24.2,30.1,27.598750000000003,8,2.0652529246697946,2050,58.83497,-134.27643,
1998-08-30,C-10,32.52,44.65,37.7,8,4.704295909060138,1196,59.57564,-133.70982,
1998-08-30,C-17,30.91,41.72,35.89125,8,4.0653815055556946,1285,58.64721,-134.20635,
1998-08-30,C-18,25.93,40.23,33.17125,8,5.922399218222289,1705,59.34211,-134.10221,
1998-08-30,C-26,33.31,40.97,37.832499999999996,8,3.2080156305283642,1435,58.36737,-134.36638,
1998-08-30,C-30,37.2,58.73,48.94,8,7.288672228680807,674,59.57544893154394,-133.70967902899886,
1998-08-30,C-8,21.55,35.66,28.855,8,4.969222416894964,2050,58.83497,-134.27643,
1998-08-31,C-10,34.88,46.1,39.72375,8,3.388328443769455,1196,59.57564,-133.70982,
1998-08-31,C-17,36.43,46.1,39.33125,8,4.084145084522411,1285,58.64721,-134.20635,
1998-08-31,C-18,31.72,40.97,37.1475,8,3.884804646678792,1705,59.34211,-134.10221,
1998-08-31,C-26,34.88,45.38,39.62375,8,3.577792366010876,1435,58.36737,-134.36638,
1998-08-31,C-30,42.46,57.35,48.37625,8,5.060101460021754,674,59.57544893154394,-133.70967902899886,
1998-08-31,C-8,27.62,37.97,33.23875,8,4.314147614866366,2050,58.83497,-134.27643,
1998-09-01,C-10,34.1,37.2,35.84875,8,0.9933556045761561,1196,59.57564,-133.70982,
1998-09-01,C-17,33.31,36.43,34.68125,8,1.0845069650043075,1285,58.64721,-134.20635,
1998-09-01,C-18,29.28,34.1,31.00375,8,1.513896934593444,1705,59.34211,-134.10221,
1998-09-01,C-26,34.88,38.72,36.714999999999996,8,1.3588755856011472,1435,58.36737,-134.36638,
1998-09-01,C-30,42.46,54.58,48.11625,8,4.626680196734712,674,59.57544893154394,-133.70967902899886,
1998-09-01,C-8,25.07,33.31,27.9,8,2.524712147665835,2050,58.83497,-134.27643,
1998-09-02,C-10,31.72,37.97,33.791250000000005,8,1.9540466254124327,1196,59.57564,-133.70982,
1998-09-02,C-17,31.72,34.88,33.1075,8,1.2482072858990299,1285,58.64721,-134.20635,
1998-09-02,C-18,29.28,33.31,30.905,8,1.2180194697012967,1705,59.34211,-134.10221,
1998-09-02,C-26,30.91,35.66,33.6875,8,2.1568677686470634,1435,58.36737,-134.36638,
1998-09-02,C-30,40.97,48.96,44.7175,8,3.0226939261904393,674,59.57544893154394,-133.70967902899886,
1998-09-02,C-8,25.93,29.28,27.3975,8,1.599881692054581,2050,58.83497,-134.27643,
1998-09-03,C-10,33.31,35.66,34.58625,8,0.7171159997816673,1196,59.57564,-133.70982,
1998-09-03,C-17,32.52,35.66,34.292500000000004,8,0.9142014470095112,1285,58.64721,-134.20635,
1998-09-03,C-18,30.1,34.1,31.6075,8,1.5094156863785784,1705,59.34211,-134.10221,
1998-09-03,C-26,34.88,37.97,35.94375,8,1.2353708234488006,1435,58.36737,-134.36638,
1998-09-03,C-30,44.65,51.79,47.34,8,2.824939948792845,674,59.57544893154394,-133.70967902899886,
1998-09-03,C-8,25.07,29.28,27.18625,8,1.4219899286362254,2050,58.83497,-134.27643,
1998-09-04,C-10,35.66,37.97,36.43,8,0.8231646250902683,1196,59.57564,-133.70982,
1998-09-04,C-17,34.1,35.66,35.269999999999996,8,0.5896245778943924,1285,58.64721,-134.20635,
1998-09-04,C-18,30.91,34.1,31.91125,8,1.2628927960384113,1705,59.34211,-134.10221,
1998-09-04,C-26,34.1,39.48,36.5175,8,1.815156427733669,1435,58.36737,-134.36638,
1998-09-04,C-30,36.43,55.97,45.40125,8,7.976926435485213,674,59.57544893154394,-133.70967902899886,
1998-09-04,C-8,25.07,31.72,28.11375,8,2.3024641303239815,2050,58.83497,-134.27643,
