Date Time,Temp (°F) LGR S/N: 22038780 c:1,Intensity (lum/ft²) LGR S/N: 22038780 c:2,Button Down LGR S/N: 22038780,Button Up LGR S/N: 22038780,Host Connected LGR S/N: 22038780,End Of File LGR S/N: 22038780
06/24/25 07:45:00,49.22,3816.71,,,,
06/24/25 07:50:00,49.14,3810.05,,,,
06/24/25 07:55:00,49.52,3635.00,,,,
06/24/25 08:00:00,49.29,3635.00,,,,
06/24/25 08:05:00,48.06,3366.73,,,,
06/24/25 08:10:00,47.05,3079.43,,,,
06/24/25 08:15:00,45.20,2598.06,,,,
06/24/25 08:20:00,44.74,2548.59,,,,
06/24/25 08:25:00,44.81,3085.14,,,,
06/24/25 08:30:00,48.67,4518.78,,,,
06/24/25 08:35:00,48.67,3225.94,,,,
06/24/25 08:40:00,47.21,3040.43,,,,
06/24/25 08:45:00,46.05,3020.45,,,,
06/24/25 08:50:00,47.05,3332.48,,,,
06/24/25 08:55:00,49.76,3850.95,,,,
06/24/25 09:00:00,49.91,3921.35,,,,
06/24/25 09:05:00,50.61,4142.06,,,,
06/24/25 09:10:00,52.92,4579.67,,,,
06/24/25 09:15:00,58.10,5420.64,,,,
06/24/25 09:20:00,63.73,5300.77,,,,
06/24/25 09:25:00,68.83,5780.24,,,,
06/24/25 09:30:00,61.72,5055.33,,,,
06/24/25 09:35:00,56.40,4830.82,,,,
06/24/25 09:40:00,53.39,5043.91,,,,
06/24/25 09:45:00,53.54,5317.89,,,,
06/24/25 09:50:00,55.16,5738.38,,,,
06/24/25 09:55:00,54.93,6234.97,,,,
06/24/25 10:00:00,55.16,6202.62,,,,
06/24/25 10:05:00,56.01,6234.97,,,,
06/24/25 10:10:00,57.63,6410.01,,,,
06/24/25 10:15:00,59.72,6628.82,,,,
06/24/25 10:20:00,62.03,6807.67,,,,
06/24/25 10:25:00,64.58,6727.75,,,,
06/24/25 10:30:00,67.21,6826.69,,,,
06/24/25 10:35:00,69.91,6897.09,,,,
06/24/25 10:40:00,61.88,6937.05,,,,
06/24/25 10:45:00,58.25,7075.94,,,,
06/24/25 10:50:00,58.79,7035.98,,,,
06/24/25 10:55:00,58.02,7081.65,,,,
06/24/25 11:00:00,59.33,7222.44,,,,
06/24/25 11:05:00,60.26,7332.80,,,,
06/24/25 11:10:00,60.34,7309.96,,,,
06/24/25 11:15:00,58.56,7361.34,,,,
06/24/25 11:20:00,59.02,7422.22,,,,
06/24/25 11:25:00,59.49,7578.24,,,,
06/24/25 11:30:00,59.72,7757.09,,,,
06/24/25 11:35:00,60.41,7922.62,,,,
06/24/25 11:40:00,61.49,8048.19,,,,
06/24/25 11:45:00,62.65,8181.38,,,,
06/24/25 11:50:00,65.05,8242.26,,,,
06/24/25 11:55:00,66.36,8375.45,,,,
06/24/25 12:00:00,68.29,8386.86,,,,
06/24/25 12:05:00,68.13,8447.75,,,,
06/24/25 12:10:00,67.36,8466.77,,,,
06/24/25 12:15:00,64.89,8436.33,,,,
06/24/25 12:20:00,64.27,8512.44,,,,
06/24/25 12:25:00,65.12,8653.23,,,,
06/24/25 12:30:00,66.20,8691.28,,,,
06/24/25 12:35:00,64.89,8714.12,,,,
06/24/25 12:40:00,63.27,8771.20,,,,
06/24/25 12:45:00,64.58,8969.07,,,,
06/24/25 12:50:00,65.82,9380.04,,,,
06/24/25 12:55:00,66.44,9322.96,,,,
06/24/25 13:00:00,66.51,8866.33,,,,
06/24/25 13:05:00,67.28,9315.35,,,,
06/24/25 13:10:00,68.06,8961.46,,,,
06/24/25 13:15:00,66.90,8630.40,,,,
06/24/25 13:20:00,65.20,8736.95,,,,
06/24/25 13:25:00,65.05,9048.98,,,,
06/24/25 13:30:00,65.28,9018.54,,,,
06/24/25 13:35:00,65.51,9010.93,,,,
06/24/25 13:40:00,67.83,9087.03,,,,
06/24/25 13:45:00,69.06,9399.07,,,,
06/24/25 13:50:00,69.06,8881.55,,,,
06/24/25 13:55:00,66.28,8508.63,,,,
06/24/25 14:00:00,64.89,8539.07,,,,
06/24/25 14:05:00,65.89,10327.56,,,,
06/24/25 14:10:00,65.35,10749.95,,,,
06/24/25 14:15:00,63.35,8695.09,,,,
06/24/25 14:20:00,64.66,10030.75,,,,
06/24/25 14:25:00,61.34,7827.48,,,,
06/24/25 14:30:00,65.82,8972.88,,,,
06/24/25 14:35:00,70.06,10076.41,,,,
06/24/25 14:40:00,67.67,9794.82,,,,
06/24/25 14:45:00,67.44,10163.93,,,,
06/24/25 14:50:00,67.90,10924.99,,,,
06/24/25 14:55:00,66.67,7918.81,,,,
06/24/25 15:00:00,60.64,7252.88,,,,
06/24/25 15:05:00,59.87,6461.38,,,,
06/24/25 15:10:00,62.11,7214.83,,,,
06/24/25 15:15:00,64.58,7376.56,,,,
06/24/25 15:20:00,65.12,8230.84,,,,
06/24/25 15:25:00,65.66,7930.23,,,,
06/24/25 15:30:00,66.51,7583.94,,,,
06/24/25 15:35:00,65.89,7408.90,,,,
06/24/25 15:40:00,63.89,7228.15,,,,
06/24/25 15:45:00,61.80,6969.39,,,,
06/24/25 15:50:00,62.27,7949.25,,,,
06/24/25 15:55:00,61.42,8112.88,,,,
06/24/25 16:00:00,63.66,7850.32,,,,
06/24/25 16:05:00,61.34,6417.62,,,,
06/24/25 16:10:00,61.34,9273.49,,,,
06/24/25 16:15:00,66.05,8938.63,,,,
06/24/25 16:20:00,66.74,8687.48,,,,
06/24/25 16:25:00,67.52,6257.80,,,,
06/24/25 16:30:00,65.05,7551.60,,,,
06/24/25 16:35:00,60.95,7536.38,,,,
06/24/25 16:40:00,67.59,8371.64,,,,
