#,Date-Time (AKDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,Stopped,End of File
324,06/17/2025 19:45:00,3.73,,,,,,
325,06/17/2025 19:50:00,3.82,,,,,,
326,06/17/2025 19:55:00,4.24,,,,,,
327,06/17/2025 20:00:00,3.47,,,,,,
328,06/17/2025 20:05:00,3.56,,,,,,
329,06/17/2025 20:10:00,2.83,,,,,,
330,06/17/2025 20:15:00,3.52,,,,,,
331,06/17/2025 20:20:00,3.56,,,,,,
332,06/17/2025 20:25:00,3.56,,,,,,
333,06/17/2025 20:30:00,4.33,,,,,,
334,06/17/2025 20:35:00,4.20,,,,,,
335,06/17/2025 20:40:00,3.73,,,,,,
336,06/17/2025 20:45:00,3.86,,,,,,
337,06/17/2025 20:50:00,4.16,,,,,,
338,06/17/2025 20:55:00,4.03,,,,,,
339,06/17/2025 21:00:00,3.69,,,,,,
340,06/17/2025 21:05:00,3.73,,,,,,
341,06/17/2025 21:10:00,3.94,,,,,,
342,06/17/2025 21:15:00,3.52,,,,,,
343,06/17/2025 21:20:00,3.39,,,,,,
344,06/17/2025 21:25:00,3.90,,,,,,
345,06/17/2025 21:30:00,3.82,,,,,,
346,06/17/2025 21:35:00,4.24,,,,,,
347,06/17/2025 21:40:00,4.42,,,,,,
348,06/17/2025 21:45:00,4.54,,,,,,
349,06/17/2025 21:50:00,5.27,,,,,,
350,06/17/2025 21:55:00,5.27,,,,,,
351,06/17/2025 22:00:00,5.57,,,,,,
352,06/17/2025 22:05:00,5.57,,,,,,
353,06/17/2025 22:10:00,5.75,,,,,,
354,06/17/2025 22:15:00,5.83,,,,,,
355,06/17/2025 22:20:00,6.13,,,,,,
356,06/17/2025 22:25:00,5.96,,,,,,
357,06/17/2025 22:30:00,6.13,,,,,,
358,06/17/2025 22:35:00,6.22,,,,,,
359,06/17/2025 22:40:00,6.48,,,,,,
360,06/17/2025 22:45:00,6.35,,,,,,
361,06/17/2025 22:50:00,7.08,,,,,,
362,06/17/2025 22:55:00,7.85,,,,,,
363,06/17/2025 23:00:00,7.38,,,,,,
364,06/17/2025 23:05:00,6.95,,,,,,
365,06/17/2025 23:10:00,6.99,,,,,,
366,06/17/2025 23:15:00,6.99,,,,,,
367,06/17/2025 23:20:00,7.12,,,,,,
368,06/17/2025 23:25:00,6.82,,,,,,
369,06/17/2025 23:30:00,6.73,,,,,,
370,06/17/2025 23:35:00,7.76,,,,,,
371,06/17/2025 23:40:00,6.99,,,,,,
372,06/17/2025 23:45:00,6.65,,,,,,
373,06/17/2025 23:50:00,6.73,,,,,,
374,06/17/2025 23:55:00,6.82,,,,,,
375,06/18/2025 00:00:00,7.16,,,,,,
376,06/18/2025 00:05:00,7.38,,,,,,
377,06/18/2025 00:10:00,7.50,,,,,,
378,06/18/2025 00:15:00,7.12,,,,,,
379,06/18/2025 00:20:00,5.87,,,,,,
380,06/18/2025 00:25:00,5.79,,,,,,
381,06/18/2025 00:30:00,6.22,,,,,,
382,06/18/2025 00:35:00,7.89,,,,,,
383,06/18/2025 00:40:00,9.14,,,,,,
384,06/18/2025 00:45:00,8.32,,,,,,
385,06/18/2025 00:50:00,7.89,,,,,,
386,06/18/2025 00:55:00,8.02,,,,,,
387,06/18/2025 01:00:00,8.23,,,,,,
388,06/18/2025 01:05:00,7.68,,,,,,
389,06/18/2025 01:10:00,7.46,,,,,,
390,06/18/2025 01:15:00,7.29,,,,,,
391,06/18/2025 01:20:00,7.42,,,,,,
392,06/18/2025 01:25:00,7.63,,,,,,
393,06/18/2025 01:30:00,7.89,,,,,,
394,06/18/2025 01:35:00,8.11,,,,,,
395,06/18/2025 01:40:00,7.98,,,,,,
396,06/18/2025 01:45:00,8.62,,,,,,
397,06/18/2025 01:50:00,8.83,,,,,,
398,06/18/2025 01:55:00,9.05,,,,,,
399,06/18/2025 02:00:00,8.53,,,,,,
400,06/18/2025 02:05:00,9.26,,,,,,
401,06/18/2025 02:10:00,8.53,,,,,,
402,06/18/2025 02:15:00,8.66,,,,,,
403,06/18/2025 02:20:00,8.62,,,,,,
404,06/18/2025 02:25:00,8.45,,,,,,
405,06/18/2025 02:30:00,7.72,,,,,,
406,06/18/2025 02:35:00,7.55,,,,,,
407,06/18/2025 02:40:00,7.38,,,,,,
408,06/18/2025 02:45:00,7.08,,,,,,
409,06/18/2025 02:50:00,6.82,,,,,,
410,06/18/2025 02:55:00,6.78,,,,,,
