datetime_utc,wind_speed_avg,wind_speed_max,source,maximum_definition,site_id,height,maximum_sensor_id,mean_sensor_id,source_file,excess_m_s,ratio
2026-06-25 05:27:50,4.9931,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0428999999999995,1.2088682381686726
2026-06-25 05:32:50,4.8389,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.6941000000000006,1.143441691293476
2026-06-25 05:37:50,4.5874,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9456000000000007,1.206129833892837
2026-06-25 05:42:50,4.7148,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.3211999999999993,1.2802239755663016
2026-06-25 05:47:50,4.5572,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9758000000000004,1.214122706925305
2026-06-25 05:52:50,4.1749,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8551000000000002,1.2048192771084338
2026-06-25 05:57:50,4.5706,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9624000000000006,1.210563164573579
2026-06-25 06:02:50,4.4465,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0865,1.2443494883616328
2026-06-25 06:07:50,4.5974,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9356,1.203506329664593
2026-06-25 06:12:50,4.802,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.7310000000000008,1.1522282382340694
2026-06-25 06:17:50,5.2916,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2473999999999998,1.2357321037115427
2026-06-25 06:22:50,5.087,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.452,1.2854334578336937
2026-06-25 06:27:50,5.1675,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.3714999999999993,1.2654088050314465
2026-06-25 06:32:50,5.1272,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9087999999999994,1.1772507411452644
2026-06-25 06:37:50,4.9462,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0897999999999994,1.2203307589664791
2026-06-25 06:42:50,4.2956,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2374,1.288062203184654
2026-06-25 06:47:50,4.3929,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.6371000000000002,1.1450294793871931
2026-06-25 06:52:50,4.2956,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2374,1.288062203184654
2026-06-25 06:57:50,5.258,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.7839999999999998,1.3392925066565233
2026-06-25 07:02:50,5.5531,7.042,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.4889000000000001,1.2681205092650951
2026-06-25 07:07:50,4.8322,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.7067999999999994,1.3532138570423409
2026-06-25 07:12:50,4.9059,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.1300999999999997,1.230355286491775
2026-06-25 07:17:50,5.2211,6.539,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.3178999999999998,1.252418072819904
2026-06-25 07:22:50,4.8288,6.036,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2071999999999994,1.2499999999999998
2026-06-25 07:27:50,3.8094,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2206000000000001,1.3204179135821914
2026-06-25 07:32:50,3.7256,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.3044000000000002,1.3501181017822632
2026-06-25 07:37:50,3.8396,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.6934000000000005,1.4410355245338058
2026-06-25 07:42:50,4.0341,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.4989000000000008,1.371557472546541
2026-06-25 07:47:50,3.1857,4.024,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8382999999999998,1.263144677778824
2026-06-25 07:52:50,3.9569,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0731000000000002,1.2711971492835301
2026-06-25 07:57:50,3.9972,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0328000000000004,1.2583808666066247
2026-06-25 08:02:50,4.7047,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8283000000000005,1.176057984568623
2026-06-25 08:07:50,4.6745,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8585000000000003,1.1836560059899455
2026-06-25 08:12:50,4.2017,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8283000000000005,1.1971344931813315
2026-06-25 08:17:50,4.2956,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.2374,1.288062203184654
2026-06-25 08:22:50,4.1011,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9289000000000005,1.2265002072614666
2026-06-25 08:27:50,4.0877,4.527,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.43930000000000025,1.1074687477065344
2026-06-25 08:32:50,4.4331,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.5969000000000007,1.1346461843856446
2026-06-25 08:37:50,4.3862,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.6438000000000006,1.146778532670649
2026-06-25 08:42:50,4.2453,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.7847,1.184839705085624
2026-06-25 08:47:50,4.5169,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.0161000000000007,1.224955168367686
2026-06-25 08:52:50,4.1816,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8483999999999998,1.2028888463745935
2026-06-25 08:57:50,4.1045,4.527,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.4225000000000003,1.102935802168352
2026-06-25 09:02:50,3.8966,4.527,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.6304000000000003,1.1617820664168763
2026-06-25 09:07:50,3.5679,4.527,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9591000000000003,1.268813587824771
2026-06-25 09:12:50,4.1514,5.03,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8786000000000005,1.2116394469335647
2026-06-25 09:17:50,3.6786,4.527,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.8484000000000003,1.2306312183983037
2026-06-25 09:22:50,3.6082,4.527,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9188000000000001,1.254642203868965
2026-06-25 09:27:50,3.0683,4.024,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,0.9557000000000002,1.3114754098360657
2026-06-25 09:32:50,3.7893,5.533,pace,two-second peak,A18,2m,EM54051_2m_wind_speed_peak,EM54051_2m_wind_speed_avg,EM54051_A18_20260624T2332_20260826T2337.nc,1.7437000000000005,1.4601641464122663
